file,bytes,n_playlists,n_tracks,parse_s
mpd.slice.0-999.json,34119368,1000,67503,0.3958079589938279
mpd.slice.1000-1999.json,33681395,1000,66622,0.37047058300231583
mpd.slice.10000-10999.json,33691886,1000,66648,0.37497712500044145
mpd.slice.100000-100999.json,34735676,1000,68750,0.3837712079985067
mpd.slice.101000-101999.json,33143802,1000,65571,0.36563608300639316
mpd.slice.102000-102999.json,34224525,1000,67714,0.38041062498814426
mpd.slice.103000-103999.json,32606276,1000,64529,0.3726680830004625
mpd.slice.104000-104999.json,35239288,1000,69789,0.4221738339983858
mpd.slice.105000-105999.json,33140083,1000,65603,0.37658504099817947
mpd.slice.106000-106999.json,34266249,1000,67839,0.38417341699823737
mpd.slice.107000-107999.json,33037230,1000,65371,0.3660987920011394
mpd.slice.108000-108999.json,34903494,1000,69098,0.40432345899171196
mpd.slice.109000-109999.json,34747270,1000,68807,0.3869794590282254
mpd.slice.11000-11999.json,32833224,1000,64939,0.3618009579950012
mpd.slice.110000-110999.json,33689074,1000,66737,0.37512970899115317
mpd.slice.111000-111999.json,33747389,1000,66717,0.36913241699221544
mpd.slice.112000-112999.json,33547633,1000,66399,0.3732124580128584
mpd.slice.113000-113999.json,33936509,1000,67155,0.37426208300166763
mpd.slice.114000-114999.json,33946205,1000,67230,0.37290654200478457
mpd.slice.115000-115999.json,33837191,1000,66941,0.3769517500186339
mpd.slice.116000-116999.json,32905217,1000,65115,0.3732605420227628
mpd.slice.117000-117999.json,34054185,1000,67413,0.39292525002383627
mpd.slice.118000-118999.json,34973463,1000,69226,0.3907568329886999
mpd.slice.119000-119999.json,34310349,1000,67803,0.3873461250041146
mpd.slice.12000-12999.json,35088504,1000,69441,0.3895604999852367
mpd.slice.120000-120999.json,34418361,1000,68143,0.3817036249965895
mpd.slice.121000-121999.json,34416784,1000,68051,0.3840428749972489
mpd.slice.122000-122999.json,32737032,1000,64738,0.3605024160060566
mpd.slice.123000-123999.json,32754239,1000,64863,0.3805420839926228
mpd.slice.124000-124999.json,33887479,1000,67084,0.3741206249978859
mpd.slice.125000-125999.json,35446572,1000,70168,0.3896109589841217
mpd.slice.126000-126999.json,35186297,1000,69684,0.3902961249987129
mpd.slice.127000-127999.json,33498601,1000,66196,0.3687094579800032
mpd.slice.128000-128999.json,34265944,1000,67771,0.3763414169952739
mpd.slice.129000-129999.json,33908210,1000,67060,0.37511695799184963
mpd.slice.13000-13999.json,33381326,1000,66127,0.3878567090141587
mpd.slice.130000-130999.json,33225498,1000,65759,0.37105225000414066
mpd.slice.131000-131999.json,34230542,1000,67788,0.3946402499859687
mpd.slice.132000-132999.json,34481085,1000,68250,0.390056292002555
mpd.slice.133000-133999.json,34872824,1000,68996,0.3914010419975966
mpd.slice.134000-134999.json,32209505,1000,63672,0.36692587498691864
mpd.slice.135000-135999.json,33058437,1000,65364,0.3754547919961624
mpd.slice.136000-136999.json,31685516,1000,62607,0.3725585000065621
mpd.slice.137000-137999.json,34560870,1000,68341,0.3921989999944344
mpd.slice.138000-138999.json,33015804,1000,65298,0.36718883298453875
mpd.slice.139000-139999.json,33626281,1000,66485,0.36808408302022144
mpd.slice.14000-14999.json,33638009,1000,66542,0.3967138339939993
mpd.slice.140000-140999.json,34591836,1000,68389,0.41112237502238713
mpd.slice.141000-141999.json,32996309,1000,65313,0.35550987502210774
mpd.slice.142000-142999.json,33671093,1000,66609,0.48693791701225564
mpd.slice.143000-143999.json,33165165,1000,65636,0.38745437501347624
mpd.slice.144000-144999.json,34549188,1000,68312,0.39314645901322365
mpd.slice.145000-145999.json,33560650,1000,66496,0.392165750003187
mpd.slice.146000-146999.json,32309139,1000,63886,0.3953099999926053
mpd.slice.147000-147999.json,32935087,1000,65127,0.4133854160027113
mpd.slice.148000-148999.json,34784237,1000,68835,0.41106879198923707
mpd.slice.149000-149999.json,33987787,1000,67278,0.3884044580045156
mpd.slice.15000-15999.json,32914198,1000,65113,0.3793559999903664
mpd.slice.150000-150999.json,34189573,1000,67639,0.4064077919756528
mpd.slice.151000-151999.json,33685788,1000,66700,0.4058544170111418
mpd.slice.152000-152999.json,32707028,1000,64720,0.40487012499943376
mpd.slice.153000-153999.json,34749703,1000,68669,0.5185633330256678
mpd.slice.154000-154999.json,34096653,1000,67566,0.425426708010491
mpd.slice.155000-155999.json,33716058,1000,66716,0.3989317500090692
mpd.slice.156000-156999.json,34537227,1000,68371,0.41708087499137037
mpd.slice.157000-157999.json,33001115,1000,65249,0.39091012501739897
mpd.slice.158000-158999.json,32671465,1000,64597,0.40083649998996407
mpd.slice.159000-159999.json,34028558,1000,67254,0.41724012498161756
mpd.slice.16000-16999.json,33992532,1000,67229,0.41139733299496584
mpd.slice.160000-160999.json,32878947,1000,65033,0.39827408400014974
mpd.slice.161000-161999.json,33651656,1000,66595,0.38921137497527525
mpd.slice.162000-162999.json,34003083,1000,67269,0.39803020798717625
mpd.slice.163000-163999.json,32380354,1000,64082,0.38040270798956044
mpd.slice.164000-164999.json,33801843,1000,66840,0.3943220409855712
mpd.slice.165000-165999.json,35594488,1000,70413,0.4157343340048101
mpd.slice.166000-166999.json,34237019,1000,67797,0.40264491699053906
mpd.slice.167000-167999.json,33812918,1000,67053,0.39338566598598845
mpd.slice.168000-168999.json,34679722,1000,68607,0.40597212497959845
mpd.slice.169000-169999.json,32304938,1000,63848,0.3777741249941755
mpd.slice.17000-17999.json,34637378,1000,68546,0.40744379101670347
mpd.slice.170000-170999.json,33462372,1000,66100,0.396657375007635
mpd.slice.171000-171999.json,34084044,1000,67496,0.3969974580104463
mpd.slice.172000-172999.json,31961475,1000,63188,0.3687708749785088
mpd.slice.173000-173999.json,33492980,1000,66316,0.3862747499952093
mpd.slice.174000-174999.json,33370735,1000,66124,0.38680008400115184
mpd.slice.175000-175999.json,33388926,1000,66087,0.4066285839944612
mpd.slice.176000-176999.json,34771560,1000,68753,0.41754783401847817
mpd.slice.177000-177999.json,32442587,1000,64181,0.37996933300746605
mpd.slice.178000-178999.json,33618745,1000,66498,0.39548170898342505
mpd.slice.179000-179999.json,34631963,1000,68476,0.4068662080098875
mpd.slice.18000-18999.json,33975679,1000,67185,0.3974924999929499
mpd.slice.180000-180999.json,34243612,1000,67760,0.4005307919869665
mpd.slice.181000-181999.json,33236649,1000,65758,0.389269792009145
mpd.slice.182000-182999.json,34502471,1000,68318,0.40857337502529845
mpd.slice.183000-183999.json,34712480,1000,68666,0.41555725000216626
mpd.slice.184000-184999.json,34679523,1000,68571,0.4060520000057295
mpd.slice.185000-185999.json,32568974,1000,64430,0.3821574170142412
mpd.slice.186000-186999.json,34038523,1000,67309,0.4582015830092132
mpd.slice.187000-187999.json,34098638,1000,67458,0.4334332090220414
mpd.slice.188000-188999.json,33669596,1000,66693,0.4141697919985745
mpd.slice.189000-189999.json,32945027,1000,65179,0.3759827920002863
mpd.slice.19000-19999.json,33836322,1000,66925,0.4119953330082353
mpd.slice.190000-190999.json,33090831,1000,65452,0.3786169159866404
mpd.slice.191000-191999.json,33659568,1000,66581,0.38449870800832286
mpd.slice.192000-192999.json,31679440,1000,62610,0.3792824170086533
